rating,description,title,company,popularity,image_urls,releasedate,images,directors,writers,stars,time,genre,totalrating,total_cast
9.3,"
                    The friendly-but-forgetful blue tang fish reunites with her loved ones, and everyone learns a few things about the real meaning of family along the way.
            ",Finding Dory,Pixar Animation Studios,"
                    43
      (, ,)
                ","http://ia.media-imdb.com/images/M/MV5BNzg4MjM2NDQ4MV5BMl5BanBnXkFtZTgwMzk3MTgyODE@._V1_UX182_CR0,0,182,268_AL_.jpg","17 June 2016 (USA)
,
","[{'url': 'http://ia.media-imdb.com/images/M/MV5BNzg4MjM2NDQ4MV5BMl5BanBnXkFtZTgwMzk3MTgyODE@._V1_UX182_CR0,0,182,268_AL_.jpg', 'path': 'full/93e9efe1a65a33c0af15d30a945ed7dbf6791ca1.jpg', 'checksum': 'ea88d482442cdbed3ea241dba2dd321f'}]",Andrew Stanton,"Andrew Stanton,Andrew Stanton","Ellen DeGeneres,Albert Brooks,Ed O'Neill",,,370,"Ellen DeGeneres,Albert Brooks,Ed O'Neill,Kaitlin Olson,Hayden Rolence,Ty Burrell,Diane Keaton,Eugene Levy,Idris Elba,Dominic West,Bob Peterson,Kate McKinnon,Bill Hader,Sigourney Weaver,Alexander Gould,Torbin Xan Bullock,Andrew Stanton,Katherine Ringgold,Bennett Dammann,John Ratzenberger,Angus MacLane,Willem Dafoe,Brad Garrett,Allison Janney,Austin Pendleton,Stephen Root,Vicki Lewis,Jerome Ranft"
5.6,"
                    A loving father finds a clown suit for his son's birthday party, only to realize that it is not a suit at all.
            ",Clown,Cross Creek Pictures,"
                    568
      (, ,)
                ","http://ia.media-imdb.com/images/M/MV5BMTQyNDA1OTMyMl5BMl5BanBnXkFtZTgwNDA5MzgxMzE@._V1_UY268_CR3,0,182,268_AL_.jpg","13 November 2014 (Italy)
,
","[{'url': 'http://ia.media-imdb.com/images/M/MV5BMTQyNDA1OTMyMl5BMl5BanBnXkFtZTgwNDA5MzgxMzE@._V1_UY268_CR3,0,182,268_AL_.jpg', 'path': 'full/14328e6c76ccf2094d27147a36d776166337113f.jpg', 'checksum': '7e74c35148025b908713291f2536503a'}]",Jon Watts,"Christopher Ford,Jon Watts","Andy Powers,Laura Allen,Peter Stormare",,,"10,358","Andy Powers,Laura Allen,Peter Stormare,Christian Distefano,Chuck Shamata,Elizabeth Whitmere,Victor Cornfoot,Lucas Kelly,Emily Burley,Matthew Stefiuk,Michael Riendeau,Miller Timlin,Robert Reynolds,Antonio Najera,Alex Pacheco,Walter Pacheco,John MacDonald,Allen Altman,Sarah Scheffer,Nathan Boucher,Abigail Lieff,Brandon Stoffer,Gregory Wilson,Bobby Osborne,Auden Larratt,Christopher O'Dell,Kai Knight,Claudia Jurt,Rachelle Casseus,Silvia Qi,Quinnie Vu,Jennie Esnard,Colm Cooney,Malakai Lawrence,Jodi Larratt,Jeff Lefebvre,Graham Reznick,Tor Fitzwilliams,Aaron Wesner,Rene Veron,Matt Oberg,Eli Roth,Amy Balaton,Nicole Blundell,Marie-Noé Charbonneau,Jocelyn Deighton,Dan Demarbre,Isabel Efinger,Mikaela Holub,Jen Julien,Habree Ahrys Larratt,Caeden Lawrence,Julia A. Long,Pamela Masey,Rachel Nicole Shugar,Amanda-Kate Tracy,Zhaida Uddin"
7.9,"
                    Journalist David Farrier stumbles upon a mysterious tickling competition online. As he delves deeper he comes up against fierce resistance, but that doesnt stop him getting to the bottom of a story stranger than fiction.
            ",Tickled,A Ticklish Tale," 
               From , 
               ,
                    464
      (, ,)
                ","http://ia.media-imdb.com/images/M/MV5BN2VmMTlhOTMtNDAwNi00NjIwLWJjMmUtNjg4OThkYWExYWMyXkEyXkFqcGdeQXVyMTQ2Mjc5MDM@._V1_UX182_CR0,0,182,268_AL_.jpg",,"[{'url': 'http://ia.media-imdb.com/images/M/MV5BN2VmMTlhOTMtNDAwNi00NjIwLWJjMmUtNjg4OThkYWExYWMyXkEyXkFqcGdeQXVyMTQ2Mjc5MDM@._V1_UX182_CR0,0,182,268_AL_.jpg', 'path': 'full/038bf7a66d4c004564a08caac325c3c762afbbff.jpg', 'checksum': '516ecf1ed8641016cf97453d6ff26723'}]",David Farrier,,"David Farrier,Dylan Reeve,David Starr",,,142,"David Farrier,Dylan Reeve,David Starr,Hal Karp"
6.0,"
                    Chronicles the life of a dog as it travels around the country, spreading comfort and joy.
            ",Wiener-Dog,Annapurna Pictures," 
               From , 
               ,
                    87
      (, ,)
                ","http://ia.media-imdb.com/images/M/MV5BMTc5ODU5MTM0OV5BMl5BanBnXkFtZTgwOTAzNzIwOTE@._V1_UY268_CR0,0,182,268_AL_.jpg",,"[{'url': 'http://ia.media-imdb.com/images/M/MV5BMTc5ODU5MTM0OV5BMl5BanBnXkFtZTgwOTAzNzIwOTE@._V1_UY268_CR0,0,182,268_AL_.jpg', 'path': 'full/4a30d9e13b7fe65eac22320d5cd38dde4646b2ee.jpg', 'checksum': '00b8597867f989a56bfa9a6099534e00'}]",Todd Solondz,Todd Solondz,"Charlie Tahan,Greta Gerwig,Zosia Mamet",,,166,"Charlie Tahan,Greta Gerwig,Zosia Mamet,Clara Mamet,Danny DeVito,Ellen Burstyn,Michael James Shaw,Kieran Culkin,Julie Delpy,Tracy Letts,Devin Druid,Jen Ponton,Kett Turton,Connor Long,Bridget Brown,Keaton Nigel Cooke,Trey Gerrald,Melo Ludwig,Sharon Washington,Samrat Chakrabarti,Alexis Suarez,Andrew Pang,Scott Martin,Bridget M. Brown,Rigoberto Garcia,Steven Ted Beckler"
7.1,"
                    A hopeless man stranded in the wilderness befriends a dead body and together they go on a surreal journey to get home.
            ",Swiss Army Man,Blackbird," 
               From , 
               ,
                    140
      (, ,)
                ","http://ia.media-imdb.com/images/M/MV5BMTk0OTEyMjM1OF5BMl5BanBnXkFtZTgwMzMzODM4ODE@._V1_UX182_CR0,0,182,268_AL_.jpg","1 July 2016 (USA)
,
","[{'url': 'http://ia.media-imdb.com/images/M/MV5BMTk0OTEyMjM1OF5BMl5BanBnXkFtZTgwMzMzODM4ODE@._V1_UX182_CR0,0,182,268_AL_.jpg', 'path': 'full/41de04e8b0f96211cb1c52d69ec8ea8ddd256ff2.jpg', 'checksum': '2c6e2e70d01e15d3cd65bbeb3b0c0563'}]",Dan Kwan,"Dan Kwan,Daniel Scheinert","Paul Dano,Daniel Radcliffe,Mary Elizabeth Winstead",,,526,"Mary Elizabeth Winstead,Daniel Radcliffe,Paul Dano,Timothy Eulich,Richard Gross,Andy Hull,Marika Casteel,Aaron Marshall,Antonia Ribero"
8.2,"
                    After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.
            ",Central Intelligence,New Line Cinema,"
                    154
      (, ,)
                ","http://ia.media-imdb.com/images/M/MV5BMjA2NzEzNjIwNl5BMl5BanBnXkFtZTgwNzgwMTEzNzE@._V1_UX182_CR0,0,182,268_AL_.jpg",,"[{'url': 'http://ia.media-imdb.com/images/M/MV5BMjA2NzEzNjIwNl5BMl5BanBnXkFtZTgwNzgwMTEzNzE@._V1_UX182_CR0,0,182,268_AL_.jpg', 'path': 'full/92c3f33654d3130389fd8cae760ed7d4c678be06.jpg', 'checksum': 'b4e7124721d428c675b46293ada3ff76'}]",Rawson Marshall Thurber,"Ike Barinholtz,David Stassen","Dwayne Johnson,Kevin Hart,Danielle Nicolet",,,41,"Dwayne Johnson,Kevin Hart,Amy Ryan,Danielle Nicolet,Aaron Paul,Ryan Hansen,Tim Griffin,Timothy John Smith,Sione Kelepi,Dylan Boyack,Thomas Kretschmann,Megan Park,Slaine,Annie Kerins,Nate Richman,Robert Woo,Kumail Nanjiani,Phil Reeves,David Stassen,Rickey Eugene Brown,Kyle Washburn,Michael Patrick Kane,Sarah K. Thurber,Lawrence Koplin,Rawson Marshall Thurber,Guy Nardulli,Jared Acquaviva,Giovanni Alabiso,James Alcazar,Colin Allen,Kristen Annese,Nick Austin,Brett Azar,Emilija Baksys,Sophia Bellas,David Bellerose,David S. Bookbinder,Macayla Botelho,Eliane Brick,John J. Burke,Mark Burzenski,Kristen Caron,Timothy Carr,Joe Jafo Carriere,Chemi Che-Mponda,Angel Connell,Clemeen Connolly,Shawn Contois,Jeffrey Corazzini,Rayshaun Deese,Ariana DeFusco,Alijah Ileana Dickenson,Nicholas A. DiMaio,Sue Dimouro,Alexandre Dornback,Jody Ebling,Irina Egay,Matthew Eriksen,Olivia Filleti,Sarah Fostier,Nicky Fox,Rocco Frattasio,Shane Fuller,James Galarneau,Susan Garibotto,Mickey Gilmore,Ed Goode,Tom Granger,Jed Griswold,London Hall,Mikaela Happas,Anita Harkess,Johnny L. Hernandez,Arthur Hiou,Kimberly Howe,Elisabeth Anne Hughes,Ian Dylan Hunt,Frankie Imbergamo,Marcela Jaramillo,Nicole Jesson,Keston John,Jimmy Jules,Colleen Kelly,J Parker Kent,Tom Kilgallen,Laurie Kwiatkowski,David Lacreta,Hashim Lafond,Amanda Landry,Patrick Languzzi,James L. Leite,Taixa Lenid,Jacqueline Levasseur,Sigrid Lium,Benjamin Lott,Andrea Lyman,Wayne Malm Jr.,Michael Marchand,Michael Mardo,Tom Mariano,Allie Marshall,Christian Massa,Joseph Massa,Jamie Mazareas,Colin McIsaac,Tanja Melendez Lynch,Anthony Molinari,Randy Morris,Joseph Oliveira,Richard Pacheco,Joseph Paolo,Jamal Peters,Dennis Pietrantonio,Eddie Polanco,Allan Poppleton,Rickland Powell,Leah Procito,Jessica Rainville,Diezel Ramos,Noel Ramos,Todd Rapisarda,David Riccio Jr.,Rocky Rodriques,Jay Romero,Stephanie Ann Saunders,Waleed Sediqe,Dora Sexton,Tyler J. Shaw,Chaunty Spillane,David Struffolino,Michael Steven Swanson,Brandon Tabassi,Erika Takacs,Lino Tanaka,Carole Taylor,Kristen Tusini,J.P. Valenti,Roman Vangeli,Nicolas Villamizar,Kyle Viveiros,Christopher Weigel,Amy Whalen,Precious White,Mark Wickham,Page Peter Wilson,Amanda Zocco"
,"
                    A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.
            ",The Shallows,Columbia Pictures,"
                    101
      (, ,)
                ","http://ia.media-imdb.com/images/M/MV5BMjA1MTA4MzU4Ml5BMl5BanBnXkFtZTgwNjUxNjczODE@._V1_UX182_CR0,0,182,268_AL_.jpg","29 June 2016 (USA)
,
","[{'url': 'http://ia.media-imdb.com/images/M/MV5BMjA1MTA4MzU4Ml5BMl5BanBnXkFtZTgwNjUxNjczODE@._V1_UX182_CR0,0,182,268_AL_.jpg', 'path': 'full/c706ab2f01002655fdc807c4acb7174df684f65d.jpg', 'checksum': 'dff2458048ba40a44ee47bb63525115e'}]",Jaume Collet-Serra,Anthony Jaswinski,"Blake Lively,Óscar Jaenada,Brett Cullen",,,,"Blake Lively,Óscar Jaenada,Brett Cullen,Sedona Legge"
,"
                    As civil war divides the nation, a poor farmer from Mississippi leads a group of rebels against the Confederate army.
            ",Free State of Jones,Bluegrass Films,"
                    83
      (, ,)
                ","http://ia.media-imdb.com/images/M/MV5BMTA4NTYyMTcwNTFeQTJeQWpwZ15BbWU4MDI0NTg0MDkx._V1_UY268_CR1,0,182,268_AL_.jpg","24 June 2016 (USA)
,
","[{'url': 'http://ia.media-imdb.com/images/M/MV5BMTA4NTYyMTcwNTFeQTJeQWpwZ15BbWU4MDI0NTg0MDkx._V1_UY268_CR1,0,182,268_AL_.jpg', 'path': 'full/fe50b3beb90fd7124711ec6a4b0a13607f3fa493.jpg', 'checksum': '69890b455ba0ad40005e8c9a00348239'}]",Gary Ross,"Leonard Hartman,Gary Ross","Matthew McConaughey,Keri Russell,Gugu Mbatha-Raw",,,,"Matthew McConaughey,Keri Russell,Gugu Mbatha-Raw,Mahershala Ali,Sean Bridgers,Jacob Lofland,Donald Watkins,Steven Grossman,Jessica Collins,Christopher Berry,Wayne Pére,Liza J. Bennett,Henry Frost,Kerry Cahill,Gary Grubbs,Matt Lintz,Sam Malone,Brandon Pettis,Kesha Bullard,Bailey Vaughn McAndrew,Joe Chrest,Terrell D Davis,Stephen Bruce Bryant,Lawrence Turner,Juan Gaspard,Lara Grice,Stella Allen,David Maldonado,Newton James Hippolyte Jr.,Jill Jane Clements,Jaren Mitchell,Ann Hamilton,David Jensen,Jackson Beals,Bill Tangradi,Thomas Francis Murphy,Ritchie Montgomery,Julia Holt,William Mark McCullough,Kurt Krause,Kerry Sims,Brian Lee Franklin,Gary Wayne Loper,Emily Bossak,Johnny McPhail,Matthew McCoy,P.J. Marshall,Daniel Cagle,Brent Wayne Rogers,John P. Fertitta,David Lee Marshall,John Neisler,Lisa Ann Smith,Jason Ament,Dane Rhodes,Will Beinbrink,Garrett Kruithof,Alicia Davis Johnson,Kylen Davis,Mattie Liptak,Camden Flowers,Zach Mooney,Nicolas Bosc,Kirk Bovill,Martin Bats Bradford,Carsen Flowers,Brian Elder,Dudley Fuqua,Anthony Kane,Abigail Williams,Jim Klock,Artrial Clark,Bobby D. Willis,Levi Bowling,Claire McReynolds,LaJessie Smith,Jesse Yarborough,Cade Mansfield Cooksey,Chris D. Henry,Carlton Caudle,Lamar Lott,Trace Masters,Shelby Sanders,Pine Purvis,Serenity Neil,Troy Hogan,Valeria Lee Williams,Patrick Kearns,Joshua Probus,Tim Bell,Stefani Strout,Zack Payne,Rhonda Johnson Dents,Melvin Thorn,James W. Evermore,Joshua Watts,Matthew Jolly,Kasey James,Carl Stevens,Maggie Eldred,Deejay Buras,Ben Shannon,Jillian Coco,Bill Martin Williams,Davis Coen,Terence Easterling,Eric Berris,Kebron Woodfin,Joe Girard,Bradley Einboden,James David Gabriel,Steve Kish,Marlene B. Russell,Cy Parks,Steven Varnes,Glen Mayes,Michael Patrick Rogers,Shawn Fultonberg,Samantha Hopkins,Miles Donald,Garrett Hollingsworth,Jeffery Bryant Moss,Jeffrey Johnese,Joseph Hosey,Daniel McIver,Mamie Helen Allen,Charlie Anderson,Kensley Keys,Sam Jones,Toby Belk,Keith Colon,Clozell Mason,Derrick St.Germain,Barry Wolf,Adam Henslee,Nolan Cummings,Jim Ruble,Michael David Smith,Kelsey Martineau,John Stroo,Tyler Belk,Stephen Bryant,Jarett Shorts,Ella Maddie,Steven Harris,GaryWayneLoper,Torion Dean,Derrick Johnson,Lillian Christine Hulin,Jerrell Moody,Larry D. Heard,John Robert Carpenter,Christian Watson,Greg Zerangue,Jason Palombo,Clyde Buchamp,Keith Ramsey,Christopher Hulin,Benjamin Dement,Michelle Hall,Devante Stewart,Ronnie Rhodes,David Eugene Jackson,Michael J. May,Joel Guilbeau,William Royce Jones,Jesse King,David Jackson,Blaine Carpenter,Warren Brett Axelroth,D.J. Miller,Cameron Metrejean,James Ryan Ponder,Joshua St.Germain,Kobe M. Brown,Bryan Blasingame,Ron Centanni,Aaron N. Martin,Matthew Blake Rogers,Carl Singleton"
7.1,"
                    Trapped in a violent feud with a cruel older bully and facing another bout of summer school, Jack's got all the problems he can handle. So when Jack's aunt falls ill and his runty younger ...
                    , »
            ",King Jack,Buffalo Picture House," 
               From , 
               ,
                    944
      (, ,)
                ","http://ia.media-imdb.com/images/M/MV5BNTIwNjE4MzUxMF5BMl5BanBnXkFtZTgwMTcyNzM5ODE@._V1_UX182_CR0,0,182,268_AL_.jpg",,"[{'url': 'http://ia.media-imdb.com/images/M/MV5BNTIwNjE4MzUxMF5BMl5BanBnXkFtZTgwMTcyNzM5ODE@._V1_UX182_CR0,0,182,268_AL_.jpg', 'path': 'full/11c0e38b31efb345ceaebcfa2e134ca9e4dd6994.jpg', 'checksum': 'acd4dd809c152375fe8d41c0125ffc68'}]",Felix Thompson,Felix Thompson,"Charlie Plummer,Cory Nichols,Christian Madsen",,,513,"Charlie Plummer,Cory Nichols,Christian Madsen,Danny Flaherty,Erin Davie,Chloe Levine,Richardson Elijah,Keith Leonard,Scott LeRoy,Meeko,Melvin Mogoli,Elijah Richardson,William Rubel,Divitto Tony,Yainis Ynoa"
6.5,"
                    As Shredder joins forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.
            ",Teenage Mutant Ninja Turtles: Out of the Shadows,Gama Entertainment Partners," 
               From , 
               ,
                    7
      (, ,)
                ","http://ia.media-imdb.com/images/M/MV5BMjM4NDQ0NTYyMV5BMl5BanBnXkFtZTgwNTIxMjY3ODE@._V1_UX182_CR0,0,182,268_AL_.jpg","3 June 2016 (USA)
,
","[{'url': 'http://ia.media-imdb.com/images/M/MV5BMjM4NDQ0NTYyMV5BMl5BanBnXkFtZTgwNTIxMjY3ODE@._V1_UX182_CR0,0,182,268_AL_.jpg', 'path': 'full/40eec776ba2ecd192558fd4d0a77e78e228f43a8.jpg', 'checksum': '864d5c92969440ab405fdb00fd896cfa'}]",Dave Green,"Josh Appelbaum,André Nemec","Megan Fox,Will Arnett,Tyler Perry",,,"7,710","Megan Fox,Will Arnett,Laura Linney,Stephen Amell,Noel Fisher,Jeremy Howard,Pete Ploszek,Alan Ritchson,Tyler Perry,Brian Tee,Stephen Farrelly,Gary Anthony Williams,Peter Donald Badalamenti II,Tony Shalhoub,Brad Garrett,Opal Alladin,Brittany Ishibashi,Connor Fox,Alessandra Ambrosio,Stan Demidoff,Jill Martin,Greg Hildreth,Dean Winters,Antoinette Kalaj,Alice Callahan,Jane Wu,Steve Lacy,Carmelo Anthony,DeAndre Jordan,Jonathan Redick,Matt Barnes,Austin Rivers,Langston Arnold Galloway,Shane Larkin,Lou Amundson,Andrea Bargnani,Quincy Acy,Courtney L. Kirkland,Justin van Duyne,Joslyn Brewster,Robert Clohessy,Alexis Suarez,John Palladino,Meredith Travers,Edwin J. Birmingham,Paul Michael Teutul,Kevin Eastman,Jake Allyne,Brett Azar,Portia Backus,Thomas J. Bellezza,Derek Binsack,James Thomas Bligh,Justin J. Britton,Kristoffe Brodeur,Ryan Burton,Marko Caka,Phil Cappadora,ToniAnn Carriere,John Cashin,Mike Catapano,Nancy Cejari,Megan Chipperfield,Karan Choudhary,Marc Chouen,Keenan Crosland,Chris J. Cullen,Danielle DeWulf,Gina Diaz,Mark Doherty,Kerry Dutka,Erina Eda,David Eggers,Scott Eliasoph,Jonathan Ercolino,Shanel Felicissimo,Liam Ferguson,Angelo Foukas,Jeane Fournier,Luke Frey,Christina Fuentes,Colleen Gilbert,Holly Glasser,Matt Gorsky,Kat Harley,Takako Haywood,Sini Hill,Arielle Ingrassia-Smith,Jahmilla Jackson,Mc Jones,Michael D. Joseph,Margo Kazaryan,Yair Koas,Aly Mang,Doris McCarthy,Justin McGriff,Cameron McIntosh,Jamie Munsey,Lawrence J Murphy,Mick O'Rourke,Elena Paloumbis,Loukas Papas,Denney Pierce,Jason Prager,Prashant Rai,Diezel Ramos,Bennie Road,Melanie Blake Roth,Rebecca Ruber,Carolina Schumann,Benji Sills,Derrick Simmons,Marija Skangale,Nora Sommerkamp,Amiya Steed,April Szykeruk,David M. Tan,Mario Tarquinio,Chris Tera,Stef Teran,Yuko Torihara,Rob Tunstall,Darly Wayne,Tim White,Alex Xenos,Jason Erik Zacek,Lisa Zebrowski,James Zeiss"
